sample,image name,species,otolith label,otolith length,fish length(FL)mm,fish weight(FW)gr
2,7.jpg,Sandeel,19,1.81,102.47,3.03
2,7.jpg,Sandeel,20,1.45,84.04,1.68
2,7.jpg,Sandeel,21,1.69,96.5,2.54
2,7.jpg,Sandeel,22,1.52,87.41,1.89
2,7.jpg,Sandeel,23,1.65,94.37,2.37
2,7.jpg,Sandeel,24,1.43,82.79,1.6
2,7.jpg,Sandeel,25,1.49,86.12,1.8
2,7.jpg,Sandeel,26,1.6,91.88,2.19
2,7.jpg,Sandeel,27,1.68,95.98,2.5
2,7.jpg,Sandeel,28,1.58,90.58,2.1
2,7.jpg,Sandeel,29,1.56,89.59,2.03
2,7.jpg,Sandeel,30,1.69,96.55,2.54
2,7.jpg,Sandeel,31,1.46,84.71,1.72
2,7.jpg,Sandeel,32,1.7,97.22,2.6
2,7.jpg,Sandeel,33,1.45,84.14,1.68
2,7.jpg,Sandeel,34,1.5,86.38,1.82
2,7.jpg,Sandeel,35,1.53,88.14,1.93
2,7.jpg,Sandeel,36,1.61,92.45,2.23
2,7.jpg,Sandeel,37,1.71,97.59,2.62
2,7.jpg,Sandeel,38,1.69,96.55,2.54
2,7.jpg,Sandeel,39,1.72,98.26,2.68
2,7.jpg,Sandeel,40,1.63,93.18,2.29
2,7.jpg,Sandeel,41,1.53,87.93,1.92
2,7.jpg,Sandeel,42,1.61,92.45,2.23
2,7.jpg,Sandeel,43,1.71,97.28,2.6
2,7.jpg,Sandeel,44,1.56,89.7,2.04
2,7.jpg,Sandeel,45,1.7,96.91,2.57
2,7.jpg,Sandeel,46,1.64,93.8,2.33
2,7.jpg,Sandeel,47,1.55,89.18,2
2,7.jpg,Sandeel,48,1.63,93.12,2.28
2,7.jpg,Sandeel,49,1.52,87.73,1.91
2,7.jpg,Sandeel,50,1.73,98.37,2.69
2,7.jpg,Sandeel,51,1.49,86.17,1.81
2,7.jpg,Sandeel,52,1.73,98.57,2.7
2,7.jpg,Sandeel,53,1.53,88.3,1.94
2,7.jpg,Sandeel,54,1.58,90.53,2.1
2,7.jpg,Sandeel,55,1.42,82.43,1.58
2,7.jpg,Sandeel,56,1.57,90.48,2.09
2,7.jpg,Sandeel,57,1.5,86.64,1.84
2,7.jpg,Sandeel,58,1.36,79.37,1.41
2,7.jpg,Sandeel,59,1.44,83.31,1.63
2,7.jpg,Sandeel,60,1.63,93.38,2.3
2,7.jpg,Sandeel,61,1.58,90.58,2.1
2,7.jpg,Sandeel,62,1.65,94.42,2.38
2,7.jpg,Sandeel,63,1.5,86.64,1.84
2,7.jpg,Sandeel,64,1.46,84.77,1.72
2,7.jpg,Sandeel,65,1.6,91.83,2.19
2,7.jpg,Sandeel,66,1.27,74.7,1.17
2,8.jpg,Sandeel,1,1.27,74.54,1.16
2,8.jpg,Sandeel,2,1.23,72.83,1.08
2,8.jpg,Sandeel,3,1.28,74.96,1.18
2,8.jpg,Sandeel,4,1.06,63.74,0.72
2,8.jpg,Sandeel,5,1.16,68.99,0.92
2,8.jpg,Sandeel,6,1.29,75.53,1.21
2,8.jpg,Sandeel,7,1.44,83.52,1.64
2,8.jpg,Sandeel,8,1.48,85.65,1.77
2,8.jpg,Sandeel,9,1.41,82.02,1.56
2,8.jpg,Sandeel,10,1.33,77.66,1.32
2,8.jpg,Sandeel,11,1.24,73.19,1.1
2,8.jpg,Sandeel,12,1.48,85.6,1.77
2,8.jpg,Sandeel,13,1.34,78.33,1.35
2,8.jpg,Sandeel,14,1.37,79.89,1.44
2,8.jpg,Sandeel,15,1.55,89.23,2.01
2,8.jpg,Sandeel,16,1.61,92.34,2.23
2,8.jpg,Sandeel,17,1.37,79.89,1.44
2,8.jpg,Sandeel,18,1.25,73.61,1.12
2,8.jpg,Sandeel,19,1.4,81.6,1.53
2,8.jpg,Sandeel,20,1.56,89.75,2.04
2,8.jpg,Sandeel,21,1.38,80.41,1.47
2,8.jpg,Sandeel,22,1.36,79.47,1.41
2,8.jpg,Sandeel,23,1.36,79.16,1.4
2,8.jpg,Sandeel,24,1.26,74.18,1.15
2,8.jpg,Sandeel,25,1.47,85.08,1.74
2,8.jpg,Sandeel,26,1.56,89.96,2.06
2,8.jpg,Sandeel,27,1.34,78.43,1.36
2,8.jpg,Sandeel,28,1.5,86.64,1.84
2,8.jpg,Sandeel,29,1.59,91.31,2.15
2,8.jpg,Sandeel,30,1.36,79.58,1.42
2,8.jpg,Sandeel,31,1.37,79.89,1.44
2,8.jpg,Sandeel,32,1.45,83.94,1.67
2,8.jpg,Sandeel,33,1.38,80.41,1.47
2,8.jpg,Sandeel,34,1.33,77.55,1.31
2,8.jpg,Sandeel,35,1.49,86.12,1.8
2,8.jpg,Sandeel,36,1.39,80.87,1.49
2,8.jpg,Sandeel,37,1.45,83.83,1.66
2,8.jpg,Sandeel,38,1.41,81.81,1.54
2,8.jpg,Sandeel,39,1.79,101.69,2.97
2,8.jpg,Sandeel,40,1.47,84.82,1.72
2,8.jpg,Sandeel,41,1.72,98.05,2.66
2,8.jpg,Sandeel,42,1.61,92.55,2.24
2,8.jpg,Sandeel,43,1.6,91.88,2.19
2,8.jpg,Sandeel,44,1.43,83.11,1.62
2,8.jpg,Sandeel,45,1.46,84.66,1.71
2,8.jpg,Sandeel,46,1.6,91.98,2.2
2,8.jpg,Sandeel,47,1.63,93.54,2.31
2,8.jpg,Sandeel,48,1.78,101.17,2.92
2,8.jpg,Sandeel,49,1.56,89.75,2.04
2,8.jpg,Sandeel,50,1.6,91.83,2.19
2,8.jpg,Sandeel,51,1.64,93.9,2.34
2,8.jpg,Sandeel,52,1.39,80.87,1.49
2,8.jpg,Sandeel,53,1.62,92.71,2.25
2,8.jpg,Sandeel,54,1.56,89.54,2.03
2,8.jpg,Sandeel,55,1.69,96.7,2.55
2,8.jpg,Sandeel,56,1.53,88.04,1.93
2,8.jpg,Sandeel,57,1.63,93.38,2.3
2,8.jpg,Sandeel,58,1.8,102.21,3.01
2,8.jpg,Sandeel,59,1.65,94.42,2.38
2,8.jpg,Sandeel,60,1.56,89.8,2.05
2,8.jpg,Sandeel,61,1.58,90.58,2.1
2,8.jpg,Sandeel,62,1.58,90.63,2.1
2,8.jpg,Sandeel,63,1.45,83.88,1.67
2,8.jpg,Sandeel,64,1.55,89.02,1.99
2,8.jpg,Sandeel,65,1.58,90.79,2.11
2,8.jpg,Sandeel,66,1.64,93.9,2.34
2,8.jpg,Sandeel,67,1.47,84.87,1.73
2,8.jpg,Sandeel,68,1.28,74.96,1.18
2,8.jpg,Sandeel,69,1.58,90.79,2.11
2,8.jpg,Sandeel,70,1.21,71.58,1.03
2,8.jpg,Sandeel,71,1.38,80.41,1.47
2,8.jpg,Sandeel,72,1.3,76.25,1.25
2,8.jpg,Sandeel,73,1.54,88.71,1.97
2,8.jpg,Sandeel,74,1.33,77.81,1.33
2,8.jpg,Sandeel,75,1.49,86.12,1.8
2,8.jpg,Sandeel,76,1.33,77.81,1.33
3,1.jpg,Blue Whiting,1,6.38,113.15,9.75
3,1.jpg,Blue Whiting,2,6.6,119.14,11.02
3,1.jpg,Blue Whiting,3,5.81,97.94,7.01
3,1.jpg,Blue Whiting,4,6.78,123.85,12.09
3,1.jpg,Blue Whiting,5,6.25,109.62,9.06
3,1.jpg,Blue Whiting,6,6.54,117.46,10.65
3,1.jpg,Blue Whiting,7,6.63,119.88,11.18
3,1.jpg,Blue Whiting,8,6.89,126.8,12.8
3,1.jpg,Blue Whiting,9,6.36,112.78,9.68
3,2.jpg,Blue Whiting,1,5.9,100.44,7.42
4,4.jpg,Black Goby,1,3.56,140.81,46.52
4,2.jpg,Blue Whiting,1,5.7,95.12,6.57
4,3.jpg,Cod,1,3.86,68.28,4.22
4,2.jpg,Norway Pout,2,4.82,109.9,9.09
4,1.jpg,Vahl's Eelpout,1,2.87,129.43,7.68
4,1.jpg,Vahl's Eelpout,2,2.93,131.69,7.99
4,1.jpg,Vahl's Eelpout,3,2.7,122.97,6.82
4,1.jpg,Vahl's Eelpout,4,2.29,107.43,4.95
4,1.jpg,Vahl's Eelpout,5,2.86,129.24,7.65
4,,Cephalopoda,1,,,
5,12.jpg,Ballan Wrasse,1,3.47,204.41,129.57
5,12.jpg,Ballan Wrasse,2,3.57,211.48,146.71
5,12.jpg,Ballan Wrasse,3,3.7,219.91,169.36
5,13.jpg,Ballan Wrasse,5,1.82,92.6,8.66
5,13.jpg,Ballan Wrasse,8,2.42,133.04,28.42
5,13.jpg,Ballan Wrasse,9,2.72,153.84,46.92
5,5.jpg,Cod,1,5.47,124.4,17.22
5,5.jpg,Haddock/Pollack/Saithe,2,6.01,129.12,17.9
5,5.jpg,Haddock/Pollack/Saithe,3,6.68,149.76,28.35
5,5.jpg,Haddock/Pollack/Saithe,4,5.91,126.04,16.61
5,5.jpg,Cod,6,5.17,114.17,13.78
5,7.jpg,Haddock/Pollack/Saithe,10,7.09,162.98,36.85
5,7.jpg,Haddock/Pollack/Saithe,11,7.28,169.17,41.37
5,7.jpg,Haddock/Pollack/Saithe,12,6.51,144.45,25.35
5,7.jpg,Blue Whiting,13,6.09,105.36,8.27
5,7.jpg,Haddock/Pollack/Saithe,14,6.32,138.46,22.23
5,7.jpg,Blue Whiting,15,5.88,99.83,7.32
5,7.jpg,Haddock/Pollack/Saithe,16,7.04,161.35,35.73
5,7.jpg,Whiting,17,5.72,107.04,9.13
5,7.jpg,Haddock/Pollack/Saithe,18,5.9,125.73,16.49
5,7.jpg,Haddock/Pollack/Saithe,19,6.5,144.08,25.15
5,8.jpg,Whiting,20,6.52,120.93,13.45
5,9.jpg,Norway Pout,1,4.44,101.14,6.95
5,9.jpg,Norway Pout,2,4.64,105.86,8.05
5,9.jpg,Norway Pout,3,4.48,102.19,7.18
5,9.jpg,Norway Pout,4,4.3,98.02,6.27
5,9.jpg,Norway Pout,5,4.41,100.62,6.83
5,9.jpg,Norway Pout,6,3.88,88.49,4.5
5,9.jpg,Norway Pout,7,4.09,93.23,5.33
5,9.jpg,Norway Pout,8,4.09,93.3,5.35
5,9.jpg,Norway Pout,9,3.87,88.3,4.47
5,9.jpg,Norway Pout,10,4.27,97.4,6.15
5,9.jpg,Norway Pout,11,4.03,91.93,5.1
5,9.jpg,Norway Pout,12,4.05,92.34,5.17
5,9.jpg,Norway Pout,13,4.12,94.03,5.48
5,9.jpg,Norway Pout,14,3.88,88.4,4.49
5,9.jpg,Norway Pout,15,4.47,101.87,7.11
5,9.jpg,Norway Pout,16,3.92,89.42,4.66
5,9 same age class.jpg,Norway Pout,1,4.19,95.42,5.75
5,9 same age class.jpg,Norway Pout,2,4.19,95.42,5.75
5,9 same age class.jpg,Norway Pout,3,4.19,95.42,5.75
5,9 same age class.jpg,Norway Pout,4,4.19,95.42,5.75
5,9 same age class.jpg,Norway Pout,5,4.19,95.42,5.75
5,9 same age class.jpg,Norway Pout,6,4.19,95.42,5.75
5,9 same age class.jpg,Norway Pout,7,4.19,95.42,5.75
5,9 same age class.jpg,Norway Pout,8,4.19,95.42,5.75
5,9 same age class.jpg,Norway Pout,9,4.19,95.42,5.75
5,9 same age class.jpg,Norway Pout,10,4.19,95.42,5.75
5,9 same age class.jpg,Norway Pout,11,4.19,95.42,5.75
5,10.jpg,Norway Pout,1,4.36,99.45,6.58
5,10.jpg,Norway Pout,2,3.92,89.28,4.64
5,10.jpg,Norway Pout,3,4.26,97.17,6.1
5,10.jpg,Norway Pout,4,3.95,89.97,4.75
5,10.jpg,Norway Pout,5,3.91,89.15,4.61
5,10.jpg,Norway Pout,6,4.09,93.32,5.35
5,10.jpg,Norway Pout,7,3.92,89.31,4.64
5,10.jpg,Norway Pout,8,3.56,81.15,3.4
5,10.jpg,Norway Pout,9,3.8,86.64,4.21
5,10.jpg,Norway Pout,10,3.92,89.42,4.66
5,10.jpg,Norway Pout,11,3.94,89.83,4.73
5,10.jpg,Norway Pout,12,3.72,84.77,3.92
5,10.jpg,Norway Pout,13,3.95,90.13,4.78
5,10 same age class.jpg,Norway Pout,1,3.95,89.97,4.75
5,10 same age class.jpg,Norway Pout,2,3.95,89.97,4.75
5,10 same age class.jpg,Norway Pout,3,3.95,89.97,4.75
5,10 same age class.jpg,Norway Pout,4,3.95,89.97,4.75
5,10 same age class.jpg,Norway Pout,5,3.95,89.97,4.75
5,10 same age class.jpg,Norway Pout,6,3.95,89.97,4.75
5,10 same age class.jpg,Norway Pout,7,3.95,89.97,4.75
5,10 same age class.jpg,Norway Pout,8,3.95,89.97,4.75
5,10 same age class.jpg,Norway Pout,9,3.95,89.97,4.75
5,10 same age class.jpg,Norway Pout,10,3.95,89.97,4.75
5,10 same age class.jpg,Norway Pout,11,3.95,89.97,4.75
5,10 same age class.jpg,Norway Pout,12,3.95,89.97,4.75
5,10 same age class.jpg,Norway Pout,13,3.95,89.97,4.75
5,11.jpg,Norway Pout,1,3.78,86.28,4.15
5,11.jpg,Norway Pout,2,3.5,79.8,3.22
5,11.jpg,Norway Pout,3,3.73,85.04,3.96
5,11.jpg,Norway Pout,4,3.74,85.18,3.98
5,11.jpg,Norway Pout,5,3.5,79.87,3.23
5,11.jpg,Norway Pout,6,3.43,78.14,3.01
5,11.jpg,Norway Pout,7,3.32,75.6,2.71
5,11.jpg,Norway Pout,8,3.67,83.68,3.76
5,11.jpg,Norway Pout,9,3.91,89.17,4.62
5,11.jpg,Norway Pout,10,3.84,87.55,4.35
5,11.jpg,Norway Pout,11,3.61,82.33,3.57
5,11.jpg,Norway Pout,12,3.56,81.05,3.39
5,24.jpg,Four-bearded Rockling,59,3.32,204.95,33.8
5,24.jpg,Four-bearded Rockling,60,3.12,190.46,25.53
5,1.jpg,Haddock/Pollack/Saithe,1,5.59,116.46,13
5,1.jpg,Haddock/Pollack/Saithe,2,6.29,137.53,21.77
5,1.jpg,Haddock/Pollack/Saithe,3,5.98,128.12,17.48
5,1.jpg,Haddock/Pollack/Saithe,4,5.83,123.63,15.64
5,2.jpg,Haddock/Pollack/Saithe,5,5.53,114.67,12.39
5,2.jpg,Haddock/Pollack/Saithe,6,5.08,101.78,8.56
5,2.jpg,Haddock/Pollack/Saithe,7,5.82,123.27,15.5
5,3.jpg,Haddock/Pollack/Saithe,8,5.9,125.7,16.47
5,3.jpg,Haddock/Pollack/Saithe,9,6.46,142.92,24.52
5,3.jpg,Haddock/Pollack/Saithe,10,6.5,144.01,25.11
5,4.jpg,Haddock/Pollack/Saithe,11,5.8,122.55,15.23
5,4.jpg,Haddock/Pollack/Saithe,12,5.18,104.51,9.29
5,4.jpg,Haddock/Pollack/Saithe,13,5.59,116.35,12.96
5,4.jpg,Haddock/Pollack/Saithe,14,6.26,136.75,21.39
5,4.jpg,Haddock/Pollack/Saithe,15,5.96,127.33,17.14
5,13.jpg,Rock Cook,4,2.33,124.73,28.19
5,13.jpg,Rock Cook,6,1.82,103.72,15.5
5,13.jpg,Rock Cook,7,1.7,99.07,13.27
5,15.jpg,Snake Blenny,1,2.94,304.52,30.1
5,15.jpg,Snake Blenny,2,2.51,216.71,15.32
5,15.jpg,Snake Blenny,3,2.73,261.86,22.31
5,15.jpg,Snake Blenny,4,3.06,330,35.3
5,15.jpg,Snake Blenny,5,3.34,388.4,48.78
5,15.jpg,Snake Blenny,6,3.13,344.7,38.49
5,15.jpg,Snake Blenny,7,2.79,274.91,24.57
5,15.jpg,Snake Blenny,8,2.83,281.53,25.76
5,16.jpg,Snake Blenny,9,2.81,278.84,25.27
5,16.jpg,Snake Blenny,10,2.86,288.78,27.09
5,16.jpg,Snake Blenny,11,3.15,349.05,39.46
5,16.jpg,Snake Blenny,12,2.9,296.03,28.46
5,17.jpg,Snake Blenny,13,2.97,310.94,31.37
5,17.jpg,Snake Blenny,14,2.73,261.03,22.17
5,17.jpg,Snake Blenny,15,2.69,252.54,20.76
5,17.jpg,Snake Blenny,16,2.85,286.5,26.67
5,18.jpg,Snake Blenny,17,2.74,264.55,22.77
5,18.jpg,Snake Blenny,18,2.46,206.35,13.9
5,19.jpg,Snake Blenny,19,2.61,237.21,18.33
5,19.jpg,Snake Blenny,20,2.44,201.8,13.3
5,19.jpg,Snake Blenny,21,2.9,295.82,28.42
5,19.jpg,Snake Blenny,22,2.48,209.87,14.38
5,19.jpg,Snake Blenny,23,2.75,266.41,23.08
5,19.jpg,Snake Blenny,24,2.41,195.58,12.5
5,20.jpg,Snake Blenny,25,2.79,273.25,24.28
5,20.jpg,Snake Blenny,26,2.72,259.58,21.92
5,20.jpg,Snake Blenny,27,2.85,285.47,26.48
5,20.jpg,Snake Blenny,28,2.61,236.18,18.18
5,20.jpg,Snake Blenny,29,2.9,296.86,28.62
5,20.jpg,Snake Blenny,30,3.04,326.48,34.56
5,20.jpg,Snake Blenny,31,2.92,301.62,29.53
5,20.jpg,Snake Blenny,32,2.69,252.74,20.79
5,20.jpg,Snake Blenny,33,2.35,182.12,10.85
5,20.jpg,Snake Blenny,34,2.48,210.08,14.41
5,20.jpg,Snake Blenny,35,2.6,234.1,17.86
5,20.jpg,Snake Blenny,36,2.92,301.83,29.57
5,20.jpg,Snake Blenny,37,2.6,233.69,17.8
5,20.jpg,Snake Blenny,38,2.98,313.22,31.83
5,20.jpg,Snake Blenny,39,2.98,313.43,31.87
5,23.jpg,Snake Blenny,56,2.07,123.92,5.05
5,23.jpg,Snake Blenny,57,1.96,101.35,3.39
5,24.jpg,Snake Blenny,61,2.68,250.88,20.49
5,24.jpg,Snake Blenny,62,2.49,212.77,14.78
5,14.jpg,Vahl's Eelpout,1,2.66,121.62,6.64
5,14.jpg,Vahl's Eelpout,2,2.75,125.13,7.1
5,14.jpg,Vahl's Eelpout,3,2.63,120.26,6.47
5,14.jpg,Vahl's Eelpout,4,1.87,91.84,3.37
5,14.jpg,Vahl's Eelpout,5,2.66,121.58,6.64
5,14.jpg,Vahl's Eelpout,6,2.68,122.26,6.73
5,14.jpg,Vahl's Eelpout,7,2.74,124.64,7.04
5,14.jpg,Vahl's Eelpout,8,2.48,114.75,5.79
5,14.jpg,Vahl's Eelpout,9,2.86,129.16,7.64
5,14.jpg,Vahl's Eelpout,10,2.22,104.97,4.68
5,14.jpg,Vahl's Eelpout,11,2.66,121.69,6.65
5,14.jpg,Vahl's Eelpout,12,2.09,99.92,4.15
5,14.jpg,Vahl's Eelpout,13,2.36,110.22,5.26
5,14.jpg,Vahl's Eelpout,14,2.71,123.47,6.88
5,14.jpg,Vahl's Eelpout,15,2.49,115.31,5.86
5,14.jpg,Vahl's Eelpout,16,2.67,121.96,6.69
5,14.jpg,Vahl's Eelpout,17,2.57,118.26,6.22
5,14.jpg,Vahl's Eelpout,18,2.05,98.67,4.02
5,14.jpg,Vahl's Eelpout,19,2.54,116.97,6.06
5,14.jpg,Vahl's Eelpout,20,2.6,119.43,6.37
5,14.jpg,Vahl's Eelpout,21,2.78,126.26,7.25
5,14.jpg,Vahl's Eelpout,22,2.91,131.16,7.92
5,14.jpg,Vahl's Eelpout,23,2.45,113.5,5.65
5,14.jpg,Vahl's Eelpout,24,2.85,128.67,7.58
5,14.jpg,Vahl's Eelpout,25,2.68,122.33,6.74
5,14.jpg,Vahl's Eelpout,26,2.67,122.03,6.7
5,21.jpg,Vahl's Eelpout,40,2.73,124.37,7
5,21.jpg,Vahl's Eelpout,41,2.28,107.31,4.94
5,21.jpg,Vahl's Eelpout,42,2.21,104.75,4.66
5,21.jpg,Vahl's Eelpout,43,2.67,121.8,6.67
5,21.jpg,Vahl's Eelpout,44,2.3,107.95,5.01
5,21.jpg,Vahl's Eelpout,45,2.74,124.6,7.03
5,21.jpg,Vahl's Eelpout,46,2.53,116.82,6.05
5,21.jpg,Vahl's Eelpout,47,2.35,109.88,5.23
5,21.jpg,Vahl's Eelpout,48,2.13,101.39,4.3
5,21.jpg,Vahl's Eelpout,49,2.11,100.9,4.25
5,21.jpg,Vahl's Eelpout,50,2.37,110.67,5.32
5,21.jpg,Vahl's Eelpout,51,2.33,108.97,5.12
5,22.jpg,Vahl's Eelpout,52,2.6,119.31,6.35
5,22.jpg,Vahl's Eelpout,53,2.55,117.31,6.11
5,22.jpg,Vahl's Eelpout,54,2.56,117.62,6.14
5,6.jpg,Whiting,7,6.56,121.54,13.66
5,6.jpg,Whiting,8,7.9,144.8,23.69
5,6.jpg,Whiting,9,7.89,144.55,23.56
5,23.jpg,Unidentified otoliths,55,2.01,n/a,n/a
5,23.jpg,Unidentified otoliths,58,2.3,n/a,n/a
5,25.jpg,Unidentified otoliths,63,2.11,n/a,n/a
5,25.jpg,Unidentified otoliths,64,2.26,n/a,n/a
5,25.jpg,Unidentified otoliths,65,2.13,n/a,n/a
5,25.jpg,Unidentified otoliths,66,2.37,n/a,n/a
5,25.jpg,Unidentified otoliths,67,2.24,n/a,n/a
5,26.jpg,Unidentified otoliths,68,2.97,n/a,n/a
5,26.jpg,Unidentified otoliths,69,2.62,n/a,n/a
5,26.jpg,Unidentified otoliths,70,2.29,n/a,n/a
5,26.jpg,Unidentified otoliths,71,2.31,n/a,n/a
6,6.jpg,Ballan Wrasse,7,3.56,210.73,144.82
6,3.jpg,Blue Whiting,1,6.75,123.02,11.89
6,3.jpg,Whiting,2,6.86,126.8,15.61
6,4.jpg,Whiting,1,6.99,129.08,16.52
6,4.jpg,Whiting,2,7.18,132.35,17.87
6,4.jpg,Cod,3,6.3,153.3,30.44
6,4.jpg,Whiting,4,6.35,118.01,12.44
6,5.jpg,Blue Whiting,5,6.1,105.65,8.32
6,5.jpg,Blue Whiting,6,6.61,119.35,11.06
6,6.jpg,Blue Whiting,8,2.87,19.9,0.59
6,7.jpg,Sandeel,1,2.45,135.69,6.9
6,7.jpg,Sandeel,2,2.19,122.55,5.13
6,7.jpg,Sandeel,3,2,112.64,4.01
6,7.jpg,Sandeel,4,2,112.74,4.02
6,7.jpg,Sandeel,5,2.48,137.66,7.2
6,7.jpg,Sandeel,6,2.28,127.28,5.73
6,7.jpg,Sandeel,7,2.38,132.05,6.38
6,7.jpg,Sandeel,8,2.09,117.21,4.51
6,7.jpg,Sandeel,9,2.17,121.41,5
6,7.jpg,Sandeel,10,1.97,110.93,3.83
6,7.jpg,Sandeel,11,2.3,128.16,5.85
6,7.jpg,Sandeel,12,2.12,118.97,4.71
6,7.jpg,Sandeel,13,2.33,129.92,6.09
6,7.jpg,Sandeel,14,2.41,133.61,6.6
6,7.jpg,Sandeel,15,2.17,121.2,4.97
6,7.jpg,Sandeel,16,2.48,137.24,7.14
6,7.jpg,Sandeel,17,2.47,137.14,7.12
6,7.jpg,Sandeel,18,2.2,123.12,5.21
6,7.jpg,Sandeel,19,2.1,117.93,4.59
6,7.jpg,Sandeel,20,1.89,107.03,3.45
6,7.jpg,Sandeel,21,2.12,118.87,4.7
6,7.jpg,Sandeel,22,2.24,125.2,5.47
6,7.jpg,Sandeel,23,2.13,119.49,4.77
6,7.jpg,Sandeel,24,1.91,107.92,3.54
6,7.jpg,Sandeel,25,1.92,108.28,3.57
6,7.jpg,Sandeel,26,2.22,124.16,5.33
6,7.jpg,Sandeel,27,2.13,119.54,4.78
6,7.jpg,Sandeel,28,2.1,117.57,4.55
6,7.jpg,Sandeel,29,2.06,115.65,4.33
6,7.jpg,Sandeel,30,1.94,109.21,3.66
6,7.jpg,Sandeel,31,2.13,119.08,4.72
6,7.jpg,Sandeel,32,2.25,125.77,5.54
6,7.jpg,Sandeel,33,2.72,149.91,9.21
6,7.jpg,Sandeel,34,1.87,105.94,3.35
6,7.jpg,Sandeel,35,2.06,115.75,4.35
6,8.jpg,Sandeel,36,2,112.48,3.99
6,8.jpg,Sandeel,37,1.96,110.3,3.77
6,8.jpg,Sandeel,38,2.12,118.87,4.7
6,8.jpg,Sandeel,39,1.88,106.46,3.4
6,8.jpg,Sandeel,40,2.02,113.52,4.1
6,8.jpg,Sandeel,41,2.01,113.21,4.07
6,8.jpg,Sandeel,42,1.79,101.79,2.97
6,8.jpg,Sandeel,43,2.12,118.61,4.67
6,8.jpg,Sandeel,44,2.22,123.96,5.31
6,8.jpg,Sandeel,45,2.31,128.89,5.95
6,8.jpg,Sandeel,46,1.92,108.59,3.6
6,8.jpg,Sandeel,47,2.35,130.5,6.17
6,8.jpg,Sandeel,48,1.88,106.41,3.39
6,8.jpg,Sandeel,49,2.3,128.26,5.86
6,8.jpg,Sandeel,50,2.29,127.69,5.79
6,8.jpg,Sandeel,51,2.01,113.21,4.07
6,8.jpg,Sandeel,52,2.26,125.98,5.56
6,8.jpg,Sandeel,53,2.24,124.99,5.44
6,8.jpg,Sandeel,54,1.9,107.4,3.49
6,8.jpg,Sandeel,55,1.6,91.72,2.18
6,8.jpg,Sandeel,56,2.09,117.26,4.51
6,8.jpg,Sandeel,57,2.11,118.19,4.62
6,8.jpg,Sandeel,58,2.13,119.08,4.72
6,8.jpg,Sandeel,59,2.29,127.74,5.79
6,8.jpg,Sandeel,60,1.85,104.59,3.22
6,8.jpg,Sandeel,61,2.23,124.42,5.37
6,8.jpg,Sandeel,62,2.38,132.36,6.43
6,8.jpg,Sandeel,63,2.27,126.5,5.63
6,8.jpg,Sandeel,64,2.31,128.63,5.91
6,8.jpg,Sandeel,65,2.19,122.5,5.13
6,8.jpg,Sandeel,66,1.93,108.95,3.64
6,8.jpg,Sandeel,67,2.21,123.28,5.22
6,8.jpg,Sandeel,68,2.08,116.74,4.45
6,8.jpg,Sandeel,69,1.74,99.2,2.75
6,8.jpg,Sandeel,70,2.16,120.63,4.9
6,8.jpg,Sandeel,71,2.38,132.26,6.41
6,9.jpg,Sandeel,1,2.24,124.89,5.43
6,9.jpg,Sandeel,2,1.69,96.5,2.54
6,9.jpg,Sandeel,3,2.09,117.21,4.51
6,1.jpg,Whiting,1,8.08,147.8,25.25
6,1.jpg,Whiting,2,8.02,146.78,24.71
6,1.jpg,Whiting,3,8.45,154.2,28.82
6,1.jpg,Whiting,4,7.57,139.1,20.89
6,2.jpg,Whiting,5,7.31,134.61,18.85
6,2.jpg,Whiting,6,7.54,138.52,20.62
6,2.jpg,Whiting,8,7.59,139.34,21
6,2.jpg,Whiting,10,5.8,108.47,9.52
7,13.jpg,Black Goby,1,3.14,123.11,27.44
7,13.jpg,Black Goby,2,2.72,105.2,14.88
7,3.jpg,Blue Whiting,1,6.74,122.68,11.81
7,3.jpg,Blue Whiting,2,6.8,124.49,12.24
7,3.jpg,Blue Whiting,3,6.9,127.15,12.88
7,3.jpg,Blue Whiting,4,7.48,142.55,17.09
7,4.jpg,Blue Whiting,5,6.93,127.94,13.08
7,4.jpg,Blue Whiting,6,5.95,101.66,7.62
7,4.jpg,Blue Whiting,7,6.84,125.5,12.48
7,4.jpg,Blue Whiting,8,6.47,115.58,10.25
7,4.jpg,Blue Whiting,9,6.7,121.61,11.57
7,4.jpg,Blue Whiting,10,6.32,111.53,9.43
7,4 same size.jpg,Blue Whiting,1,6.53,117.3,10.62
7,4 same size.jpg,Blue Whiting,2,6.53,117.3,10.62
7,4 same size.jpg,Blue Whiting,4,6.53,117.3,10.62
7,4 same size.jpg,Blue Whiting,5,6.53,117.3,10.62
7,5.jpg,Blue Whiting,1,6.28,110.47,9.22
7,5.jpg,Blue Whiting,2,6.06,104.59,8.13
7,5.jpg,Blue Whiting,3,6.23,109.22,8.98
7,5.jpg,Blue Whiting,4,5.96,101.9,7.67
7,5.jpg,Blue Whiting,5,6.5,116.32,10.41
7,5.jpg,Blue Whiting,6,6.18,107.94,8.74
7,5.jpg,Blue Whiting,7,6.44,114.86,10.1
7,5.1.jpg,Blue Whiting,8,6.13,106.53,8.48
7,5.1.jpg,Blue Whiting,9,5.92,100.87,7.49
7,5.1.jpg,Blue Whiting,10,5.91,100.6,7.45
7,5.1.jpg,Blue Whiting,11,6.34,112.2,9.56
